t_mono_ns,power_W,src,valid
2679535334046297,1.245618,batt,1
2679535338538606,1.245618,batt,1
2679535339437015,1.245618,batt,1
2679535340691247,1.245618,batt,1
2679535349792631,1.245618,batt,1
2679535350937127,1.245618,batt,1
2679535351732831,1.245618,batt,1
2679535352466975,1.245618,batt,1
2679535369408948,1.245618,batt,1
2679535370401417,1.245618,batt,1
2679535370975670,1.245618,batt,1
2679535394244113,2.412033,batt,1
2679535396446857,2.412033,batt,1
2679535398453462,2.412033,batt,1
2679535400262416,3.293046,batt,1
2679535784494480,3.308329,batt,1
2679535785428201,3.308329,batt,1
2679535786551135,nan,none,0
2679538844806887,nan,none,0
2679542940699180,2.529254,batt,1
2679543692032175,2.529254,batt,1
2679543696510317,2.529254,batt,1
2679543697081341,2.529254,batt,1
2679543698019645,2.529254,batt,1
2679543701206369,2.529254,batt,1
2679543704372989,2.529254,batt,1
2679543705245462,2.529254,batt,1
2679543708736708,2.529254,batt,1
2679543709295545,2.529254,batt,1
2679543709863600,2.529254,batt,1
2679543710424728,2.529254,batt,1
2679543715615244,2.529254,batt,1
2679543716170331,2.529254,batt,1
2679543716733595,2.529254,batt,1
2679543717292484,2.529254,batt,1
2679543718637806,2.529254,batt,1
2679543719195029,2.529254,batt,1
2679543719750741,2.529254,batt,1
2679543720358690,2.529254,batt,1
2679543720915965,2.529254,batt,1
2679543726048461,2.529254,batt,1
2679543726603861,2.529254,batt,1
2679543727157073,2.529254,batt,1
2679543727716639,2.529254,batt,1
2679543728291829,2.529254,batt,1
2679543730165938,2.529254,batt,1
2679543730718316,2.529254,batt,1
2679543731281997,2.529254,batt,1
2679543731843229,2.529254,batt,1
2679543734294195,2.529254,batt,1
2679543734851156,2.529254,batt,1
2679543735409525,2.529254,batt,1
2679543737880229,2.529254,batt,1
2679543738444274,2.529254,batt,1
2679543739005611,2.529254,batt,1
2679543739566218,2.529254,batt,1
2679543741413661,2.529254,batt,1
2679543741970362,2.529254,batt,1
2679543742527897,2.529254,batt,1
2679543743908896,2.529254,batt,1
2679543744491482,2.529254,batt,1
2679543745048808,2.529254,batt,1
2679543745607437,2.529254,batt,1
2679543746906875,2.529254,batt,1
2679543747465816,2.529254,batt,1
2679543748037830,2.529254,batt,1
2679543751590324,2.529254,batt,1
2679543752173222,2.529254,batt,1
2679543752727788,2.529254,batt,1
2679543753284698,2.529254,batt,1
2679543753841504,2.529254,batt,1
2679543754398361,2.529254,batt,1
2679543755690665,2.529254,batt,1
2679543756263512,2.529254,batt,1
2679543756821150,2.529254,batt,1
2679543757382852,2.529254,batt,1
2679543758209180,2.529254,batt,1
2679543758763798,2.529254,batt,1
2679543759327635,2.529254,batt,1
2679543759889857,2.529254,batt,1
2679543763427351,2.529254,batt,1
2679543763980147,2.529254,batt,1
2679543764555806,2.529254,batt,1
2679543765108862,2.529254,batt,1
2679543765662021,2.529254,batt,1
