Tracing USDT probes and IO intervals... Ctrl-C to stop.

===== Phase Report (start–stop) =====

-- Summary by Phase --
Phase                                               Count     Avg(ms)     Min(ms)     Max(ms)     Total(ms)
Static Reshape (NC)[38,0]                               1       0.002       0.002       0.002         0.002
Static Reshape (NC)[40,0]                              27       0.035       0.004       0.209         0.951
Static Reshape (NC)[42,0]                              27       0.066       0.009       0.336         1.769
Static Reshape (NC)[44,0]                              27       0.008       0.002       0.140         0.204
Static Reshape (NC)[46,0]                              26       0.001       0.001       0.002         0.025
Static Reshape (NC)[54,0]                              27       0.002       0.002       0.003         0.066
Static Reshape (NC)[55,0]                              27       0.001       0.001       0.002         0.035
Static Reshape (NC)[65,0]                              27       0.001       0.001       0.002         0.034
Subtract (ND)[22,0]                                     1       0.195       0.195       0.195         0.195
Subtract (ND)[25,0]                                     1       0.003       0.003       0.003         0.003
Subtract (ND)[33,0]                                     1       0.003       0.003       0.003         0.003
Subtract (ND)[36,0]                                     1       0.003       0.003       0.003         0.003
Subtract (ND)[49,0]                                    27       0.003       0.003       0.003         0.080
Subtract (ND)[50,0]                                     1       0.003       0.003       0.003         0.003
Subtract (ND)[52,0]                                    26       0.003       0.003       0.005         0.086
Subtract (ND)[60,0]                                    27       0.004       0.002       0.058         0.120
Subtract (ND)[63,0]                                    26       0.004       0.002       0.039         0.109
Sum (ND)[6,0]                                           1       0.004       0.004       0.004         0.004
Sum (ND)[7,0]                                           1       0.004       0.004       0.004         0.004
Sum (ND)[19,0]                                         55       0.007       0.002       0.109         0.366
Sum (ND)[33,0]                                         28       0.003       0.002       0.004         0.088
Sum (ND)[34,0]                                         27       0.035       0.005       0.161         0.941
Transpose (ND, X32)[1,0]                               55       0.025       0.002       0.249         1.355
Transpose (ND, X32)[2,0]                               55       0.212       0.169       0.558        11.648
Transpose (ND, X32)[9,0]                               55       0.349       0.263       1.200        19.216
Transpose (ND, X32)[14,0]                              55       0.009       0.002       0.175         0.492
Transpose (ND, X32)[20,0]                               1       0.008       0.008       0.008         0.008
Transpose (ND, X32)[30,0]                               1       0.006       0.006       0.006         0.006
Transpose (ND, X32)[31,0]                               1       0.003       0.003       0.003         0.003
Transpose (ND, X32)[41,0]                               1       0.004       0.004       0.004         0.004
Transpose (ND, X32)[45,0]                               1       0.005       0.005       0.005         0.005
Transpose (ND, X32)[47,0]                              26       0.008       0.006       0.018         0.211
