Tracing USDT probes and IO intervals... Ctrl-C to stop.

===== Phase Report (start–stop) =====

-- Summary by Phase --
Phase                                               Count     Avg(ms)     Min(ms)     Max(ms)     Total(ms)
[1761] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[1762] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[1763] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[1764] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 0 (ms)
[1765] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[1766] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[1767] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[1768] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[1769] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[1770] Operator Static Reshape (NC)[22,0]: Elapsed 0 (ms)
[1771] Operator Reciprocal Square Root (NC)[23,0]: Elapsed 0 (ms)
[1772] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[1773] Operator Multiply (ND)[25,0]: Elapsed 0 (ms)
[1774] Operator Fully Connected (NC, QDU8, F32, QC8W)[26,0]: Elapsed 6 (ms)
[1775] Operator Sigmoid (NC)[27,0]: Elapsed 0 (ms)
[1776] Operator Multiply (ND)[28,0]: Elapsed 0 (ms)
[1777] Operator Fully Connected (NC, QDU8, F32, QC8W)[29,0]: Elapsed 4 (ms)
[1778] Operator Multiply (ND)[30,0]: Elapsed 0 (ms)
[1779] Operator Fully Connected (NC, QDU8, F32, QC8W)[31,0]: Elapsed 5 (ms)
[1780] Operator Add (ND)[32,0]: Elapsed 0 (ms)
[1781] Operator Multiply (ND)[33,0]: Elapsed 0 (ms)
[1782] Operator Sum (ND)[34,0]: Elapsed 0 (ms)
[1783] Operator Multiply (ND)[35,0]: Elapsed 0 (ms)
[1784] Operator Add (ND)[36,0]: Elapsed 0 (ms)
[1785] Operator Static Reshape (NC)[37,0]: Elapsed 0 (ms)
[1786] Operator Reciprocal Square Root (NC)[38,0]: Elapsed 0 (ms)
[1787] Operator Multiply (ND)[39,0]: Elapsed 0 (ms)
[1788] Operator Multiply (ND)[40,0]: Elapsed 0 (ms)
[1789] Operator Fully Connected (NC, QDU8, F32, QC8W)[41,0]: Elapsed 3 (ms)
[1790] Operator Static Reshape (NC)[42,0]: Elapsed 0 (ms)
[1791] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[1792] Operator Slice (ND, X32)[44,0]: Elapsed 0 (ms)
[1793] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[1794] Operator Static Reshape (NC)[46,0]: Elapsed 0 (ms)
[1795] Operator Transpose (ND, X32)[47,0]: Elapsed 0 (ms)
[1796] Operator Slice (ND, X32)[48,0]: Elapsed 0 (ms)
[1797] Operator Slice (ND, X32)[49,0]: Elapsed 0 (ms)
[1798] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[1799] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[1800] Operator Subtract (ND)[52,0]: Elapsed 0 (ms)
[1801] Operator Multiply (ND)[53,0]: Elapsed 0 (ms)
[1802] Operator Multiply (ND)[54,0]: Elapsed 0 (ms)
[1803] Operator Add (ND)[55,0]: Elapsed 0 (ms)
[1804] Operator Copy (NC, X32)[56,0]: Elapsed 0 (ms)
[1805] Operator Copy (NC, X32)[56,1]: Elapsed 0 (ms)
[1806] Operator Transpose (ND, X32)[57,0]: Elapsed 0 (ms)
[1807] Operator Transpose (ND, X32)[58,0]: Elapsed 0 (ms)
[1808] Operator Slice (ND, X32)[59,0]: Elapsed 0 (ms)
[1809] Operator Slice (ND, X32)[60,0]: Elapsed 0 (ms)
[1810] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[1811] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[1812] Operator Subtract (ND)[63,0]: Elapsed 0 (ms)
[1813] Operator Multiply (ND)[64,0]: Elapsed 0 (ms)
[1814] Operator Multiply (ND)[65,0]: Elapsed 0 (ms)
[1815] Operator Add (ND)[66,0]: Elapsed 0 (ms)
[1816] Operator Copy (NC, X32)[67,0]: Elapsed 0 (ms)
[1817] Operator Copy (NC, X32)[67,1]: Elapsed 0 (ms)
[1818] Operator Transpose (ND, X32)[68,0]: Elapsed 0 (ms)
[1819] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[1820] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[1821] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[1822] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[1823] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[1824] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[1825] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[1826] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[1827] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[1828] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[1829] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[1830] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[1831] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[1832] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[1833] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[1834] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[1835] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 1 (ms)
[1836] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[1837] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[1838] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[1839] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[1840] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[1841] Operator Static Reshape (NC)[22,0]: Elapsed 0 (ms)
[1842] Operator Reciprocal Square Root (NC)[23,0]: Elapsed 0 (ms)
[1843] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[1844] Operator Multiply (ND)[25,0]: Elapsed 0 (ms)
[1845] Operator Fully Connected (NC, QDU8, F32, QC8W)[26,0]: Elapsed 5 (ms)
[1846] Operator Sigmoid (NC)[27,0]: Elapsed 0 (ms)
[1847] Operator Multiply (ND)[28,0]: Elapsed 0 (ms)
[1848] Operator Fully Connected (NC, QDU8, F32, QC8W)[29,0]: Elapsed 5 (ms)
[1849] Operator Multiply (ND)[30,0]: Elapsed 0 (ms)
[1850] Operator Fully Connected (NC, QDU8, F32, QC8W)[31,0]: Elapsed 5 (ms)
[1851] Operator Add (ND)[32,0]: Elapsed 0 (ms)
[1852] Operator Multiply (ND)[33,0]: Elapsed 0 (ms)
[1853] Operator Sum (ND)[34,0]: Elapsed 0 (ms)
[1854] Operator Multiply (ND)[35,0]: Elapsed 0 (ms)
[1855] Operator Add (ND)[36,0]: Elapsed 0 (ms)
[1856] Operator Static Reshape (NC)[37,0]: Elapsed 0 (ms)
[1857] Operator Reciprocal Square Root (NC)[38,0]: Elapsed 0 (ms)
[1858] Operator Multiply (ND)[39,0]: Elapsed 0 (ms)
[1859] Operator Multiply (ND)[40,0]: Elapsed 0 (ms)
[1860] Operator Fully Connected (NC, QDU8, F32, QC8W)[41,0]: Elapsed 3 (ms)
[1861] Operator Static Reshape (NC)[42,0]: Elapsed 0 (ms)
[1862] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[1863] Operator Slice (ND, X32)[44,0]: Elapsed 0 (ms)
[1864] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[1865] Operator Static Reshape (NC)[46,0]: Elapsed 0 (ms)
[1866] Operator Transpose (ND, X32)[47,0]: Elapsed 0 (ms)
[1867] Operator Slice (ND, X32)[48,0]: Elapsed 0 (ms)
[1868] Operator Slice (ND, X32)[49,0]: Elapsed 0 (ms)
[1869] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[1870] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[1871] Operator Subtract (ND)[52,0]: Elapsed 0 (ms)
[1872] Operator Multiply (ND)[53,0]: Elapsed 0 (ms)
[1873] Operator Multiply (ND)[54,0]: Elapsed 0 (ms)
[1874] Operator Add (ND)[55,0]: Elapsed 0 (ms)
[1875] Operator Copy (NC, X32)[56,0]: Elapsed 0 (ms)
[1876] Operator Copy (NC, X32)[56,1]: Elapsed 0 (ms)
[1877] Operator Transpose (ND, X32)[57,0]: Elapsed 0 (ms)
[1878] Operator Transpose (ND, X32)[58,0]: Elapsed 0 (ms)
[1879] Operator Slice (ND, X32)[59,0]: Elapsed 0 (ms)
[1880] Operator Slice (ND, X32)[60,0]: Elapsed 0 (ms)
[1881] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[1882] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[1883] Operator Subtract (ND)[63,0]: Elapsed 0 (ms)
[1884] Operator Multiply (ND)[64,0]: Elapsed 0 (ms)
[1885] Operator Multiply (ND)[65,0]: Elapsed 0 (ms)
[1886] Operator Add (ND)[66,0]: Elapsed 0 (ms)
[1887] Operator Copy (NC, X32)[67,0]: Elapsed 0 (ms)
[1888] Operator Copy (NC, X32)[67,1]: Elapsed 0 (ms)
[1889] Operator Transpose (ND, X32)[68,0]: Elapsed 0 (ms)
[1890] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[1891] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[1892] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[1893] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[1894] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[1895] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[1896] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[1897] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[1898] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[1899] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[1900] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[1901] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[1902] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[1903] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[1904] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[1905] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[1906] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 0 (ms)
[1907] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[1908] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[1909] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[1910] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[1911] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[1912] Operator Static Reshape (NC)[22,0]: Elapsed 0 (ms)
[1913] Operator Reciprocal Square Root (NC)[23,0]: Elapsed 0 (ms)
[1914] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[1915] Operator Multiply (ND)[25,0]: Elapsed 0 (ms)
[1916] Operator Fully Connected (NC, QDU8, F32, QC8W)[26,0]: Elapsed 6 (ms)
[1917] Operator Sigmoid (NC)[27,0]: Elapsed 0 (ms)
[1918] Operator Multiply (ND)[28,0]: Elapsed 0 (ms)
[1919] Operator Fully Connected (NC, QDU8, F32, QC8W)[29,0]: Elapsed 6 (ms)
[1920] Operator Multiply (ND)[30,0]: Elapsed 0 (ms)
[1921] Operator Fully Connected (NC, QDU8, F32, QC8W)[31,0]: Elapsed 6 (ms)
[1922] Operator Add (ND)[32,0]: Elapsed 0 (ms)
[1923] Operator Multiply (ND)[33,0]: Elapsed 0 (ms)
[1924] Operator Sum (ND)[34,0]: Elapsed 0 (ms)
[1925] Operator Multiply (ND)[35,0]: Elapsed 0 (ms)
[1926] Operator Add (ND)[36,0]: Elapsed 0 (ms)
[1927] Operator Static Reshape (NC)[37,0]: Elapsed 0 (ms)
[1928] Operator Reciprocal Square Root (NC)[38,0]: Elapsed 0 (ms)
[1929] Operator Multiply (ND)[39,0]: Elapsed 0 (ms)
[1930] Operator Multiply (ND)[40,0]: Elapsed 0 (ms)
[1931] Operator Fully Connected (NC, QDU8, F32, QC8W)[41,0]: Elapsed 3 (ms)
[1932] Operator Static Reshape (NC)[42,0]: Elapsed 0 (ms)
[1933] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[1934] Operator Slice (ND, X32)[44,0]: Elapsed 0 (ms)
[1935] Operator Transpose (ND, X32)[45,0]: Elapsed 0 (ms)
[1936] Operator Slice (ND, X32)[46,0]: Elapsed 0 (ms)
[1937] Operator Slice (ND, X32)[47,0]: Elapsed 0 (ms)
[1938] Operator Multiply (ND)[48,0]: Elapsed 0 (ms)
[1939] Operator Multiply (ND)[49,0]: Elapsed 0 (ms)
[1940] Operator Subtract (ND)[50,0]: Elapsed 0 (ms)
[1941] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[1942] Operator Multiply (ND)[52,0]: Elapsed 0 (ms)
[1943] Operator Add (ND)[53,0]: Elapsed 0 (ms)
[1944] Operator Copy (NC, X32)[54,0]: Elapsed 0 (ms)
[1945] Operator Copy (NC, X32)[54,1]: Elapsed 0 (ms)
[1946] Operator Transpose (ND, X32)[55,0]: Elapsed 0 (ms)
[1947] Operator Static Reshape (NC)[0,0]: Elapsed 0 (ms)
[1948] Operator Static Reshape (NC)[1,0]: Elapsed 0 (ms)
[1949] Operator Multiply (ND)[2,0]: Elapsed 0 (ms)
[1950] Operator Cosine (NC)[3,0]: Elapsed 0 (ms)
[1951] Operator Sine (NC)[4,0]: Elapsed 0 (ms)
[1952] Operator Multiply (ND)[5,0]: Elapsed 0 (ms)
[1953] Operator Sum (ND)[6,0]: Elapsed 0 (ms)
[1954] Operator Multiply (ND)[7,0]: Elapsed 0 (ms)
[1955] Operator Add (ND)[8,0]: Elapsed 0 (ms)
[1956] Operator Reciprocal Square Root (NC)[9,0]: Elapsed 0 (ms)
[1957] Operator Multiply (ND)[10,0]: Elapsed 0 (ms)
[1958] Operator Multiply (ND)[11,0]: Elapsed 0 (ms)
[1959] Operator Fully Connected (NC, QDU8, F32, QC8W)[12,0]: Elapsed 0 (ms)
[1960] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[1961] Operator Slice (ND, X32)[14,0]: Elapsed 0 (ms)
[1962] Operator Slice (ND, X32)[15,0]: Elapsed 0 (ms)
[1963] Operator Slice (ND, X32)[16,0]: Elapsed 0 (ms)
[1964] Operator Static Reshape (NC)[17,0]: Elapsed 0 (ms)
[1965] Operator Slice (ND, X32)[18,0]: Elapsed 0 (ms)
[1966] Operator Slice (ND, X32)[19,0]: Elapsed 0 (ms)
[1967] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[1968] Operator Multiply (ND)[21,0]: Elapsed 0 (ms)
[1969] Operator Subtract (ND)[22,0]: Elapsed 0 (ms)
[1970] Operator Multiply (ND)[23,0]: Elapsed 0 (ms)
[1971] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[1972] Operator Add (ND)[25,0]: Elapsed 0 (ms)
[1973] Operator Copy (NC, X32)[26,0]: Elapsed 0 (ms)
[1974] Operator Copy (NC, X32)[26,1]: Elapsed 0 (ms)
[1975] Operator Static Reshape (NC)[27,0]: Elapsed 0 (ms)
[1976] Operator Static Reshape (NC)[28,0]: Elapsed 0 (ms)
[1977] Operator Slice (ND, X32)[29,0]: Elapsed 0 (ms)
[1978] Operator Slice (ND, X32)[30,0]: Elapsed 0 (ms)
[1979] Operator Multiply (ND)[31,0]: Elapsed 0 (ms)
[1980] Operator Multiply (ND)[32,0]: Elapsed 0 (ms)
[1981] Operator Subtract (ND)[33,0]: Elapsed 0 (ms)
[1982] Operator Multiply (ND)[34,0]: Elapsed 0 (ms)
[1983] Operator Multiply (ND)[35,0]: Elapsed 0 (ms)
[1984] Operator Add (ND)[36,0]: Elapsed 0 (ms)
[1985] Operator Copy (NC, X32)[37,0]: Elapsed 0 (ms)
[1986] Operator Copy (NC, X32)[37,1]: Elapsed 0 (ms)
[1987] Operator Static Reshape (NC)[38,0]: Elapsed 0 (ms)
[1988] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[1989] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[1990] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[1991] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[1992] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[1993] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[1994] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[1995] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[1996] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[1997] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[1998] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[1999] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[2000] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[2001] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[2002] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[2003] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[2004] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 0 (ms)
[2005] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[2006] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[2007] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[2008] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[2009] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[2010] Operator Reciprocal Square Root (NC)[22,0]: Elapsed 0 (ms)
[2011] Operator Multiply (ND)[23,0]: Elapsed 0 (ms)
[2012] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[2013] Operator Fully Connected (NC, QDU8, F32, QC8W)[25,0]: Elapsed 5 (ms)
[2014] Operator Sigmoid (NC)[26,0]: Elapsed 0 (ms)
[2015] Operator Multiply (ND)[27,0]: Elapsed 0 (ms)
[2016] Operator Fully Connected (NC, QDU8, F32, QC8W)[28,0]: Elapsed 4 (ms)
[2017] Operator Multiply (ND)[29,0]: Elapsed 0 (ms)
[2018] Operator Fully Connected (NC, QDU8, F32, QC8W)[30,0]: Elapsed 6 (ms)
[2019] Operator Add (ND)[31,0]: Elapsed 0 (ms)
[2020] Operator Multiply (ND)[32,0]: Elapsed 0 (ms)
[2021] Operator Sum (ND)[33,0]: Elapsed 0 (ms)
[2022] Operator Multiply (ND)[34,0]: Elapsed 0 (ms)
[2023] Operator Add (ND)[35,0]: Elapsed 0 (ms)
[2024] Operator Reciprocal Square Root (NC)[36,0]: Elapsed 0 (ms)
[2025] Operator Multiply (ND)[37,0]: Elapsed 0 (ms)
[2026] Operator Multiply (ND)[38,0]: Elapsed 0 (ms)
[2027] Operator Fully Connected (NC, QDU8, F32, QC8W)[39,0]: Elapsed 2 (ms)
[2028] Operator Static Reshape (NC)[40,0]: Elapsed 0 (ms)
[2029] Operator Slice (ND, X32)[41,0]: Elapsed 0 (ms)
[2030] Operator Slice (ND, X32)[42,0]: Elapsed 0 (ms)
[2031] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[2032] Operator Static Reshape (NC)[44,0]: Elapsed 0 (ms)
[2033] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[2034] Operator Slice (ND, X32)[46,0]: Elapsed 0 (ms)
[2035] Operator Multiply (ND)[47,0]: Elapsed 0 (ms)
[2036] Operator Multiply (ND)[48,0]: Elapsed 0 (ms)
[2037] Operator Subtract (ND)[49,0]: Elapsed 0 (ms)
[2038] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[2039] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[2040] Operator Add (ND)[52,0]: Elapsed 0 (ms)
[2041] Operator Copy (NC, X32)[53,0]: Elapsed 0 (ms)
[2042] Operator Copy (NC, X32)[53,1]: Elapsed 0 (ms)
[2043] Operator Static Reshape (NC)[54,0]: Elapsed 0 (ms)
[2044] Operator Static Reshape (NC)[55,0]: Elapsed 0 (ms)
[2045] Operator Slice (ND, X32)[56,0]: Elapsed 0 (ms)
[2046] Operator Slice (ND, X32)[57,0]: Elapsed 0 (ms)
[2047] Operator Multiply (ND)[58,0]: Elapsed 0 (ms)
[2048] Operator Multiply (ND)[59,0]: Elapsed 0 (ms)
[2049] Operator Subtract (ND)[60,0]: Elapsed 0 (ms)
[2050] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[2051] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[2052] Operator Add (ND)[63,0]: Elapsed 0 (ms)
[2053] Operator Copy (NC, X32)[64,0]: Elapsed 0 (ms)
[2054] Operator Copy (NC, X32)[64,1]: Elapsed 0 (ms)
[2055] Operator Static Reshape (NC)[65,0]: Elapsed 0 (ms)
[2056] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[2057] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[2058] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[2059] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[2060] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[2061] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[2062] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[2063] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[2064] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[2065] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[2066] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[2067] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[2068] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[2069] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[2070] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[2071] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[2072] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 1 (ms)
[2073] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[2074] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[2075] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[2076] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[2077] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[2078] Operator Reciprocal Square Root (NC)[22,0]: Elapsed 0 (ms)
[2079] Operator Multiply (ND)[23,0]: Elapsed 0 (ms)
[2080] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[2081] Operator Fully Connected (NC, QDU8, F32, QC8W)[25,0]: Elapsed 5 (ms)
[2082] Operator Sigmoid (NC)[26,0]: Elapsed 0 (ms)
[2083] Operator Multiply (ND)[27,0]: Elapsed 0 (ms)
[2084] Operator Fully Connected (NC, QDU8, F32, QC8W)[28,0]: Elapsed 5 (ms)
[2085] Operator Multiply (ND)[29,0]: Elapsed 0 (ms)
[2086] Operator Fully Connected (NC, QDU8, F32, QC8W)[30,0]: Elapsed 5 (ms)
[2087] Operator Add (ND)[31,0]: Elapsed 0 (ms)
[2088] Operator Multiply (ND)[32,0]: Elapsed 0 (ms)
[2089] Operator Sum (ND)[33,0]: Elapsed 0 (ms)
[2090] Operator Multiply (ND)[34,0]: Elapsed 0 (ms)
[2091] Operator Add (ND)[35,0]: Elapsed 0 (ms)
[2092] Operator Reciprocal Square Root (NC)[36,0]: Elapsed 0 (ms)
[2093] Operator Multiply (ND)[37,0]: Elapsed 0 (ms)
[2094] Operator Multiply (ND)[38,0]: Elapsed 0 (ms)
[2095] Operator Fully Connected (NC, QDU8, F32, QC8W)[39,0]: Elapsed 3 (ms)
[2096] Operator Static Reshape (NC)[40,0]: Elapsed 0 (ms)
[2097] Operator Slice (ND, X32)[41,0]: Elapsed 0 (ms)
[2098] Operator Slice (ND, X32)[42,0]: Elapsed 0 (ms)
[2099] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[2100] Operator Static Reshape (NC)[44,0]: Elapsed 0 (ms)
[2101] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[2102] Operator Slice (ND, X32)[46,0]: Elapsed 0 (ms)
[2103] Operator Multiply (ND)[47,0]: Elapsed 0 (ms)
[2104] Operator Multiply (ND)[48,0]: Elapsed 0 (ms)
[2105] Operator Subtract (ND)[49,0]: Elapsed 0 (ms)
[2106] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[2107] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[2108] Operator Add (ND)[52,0]: Elapsed 0 (ms)
[2109] Operator Copy (NC, X32)[53,0]: Elapsed 0 (ms)
[2110] Operator Copy (NC, X32)[53,1]: Elapsed 0 (ms)
[2111] Operator Static Reshape (NC)[54,0]: Elapsed 0 (ms)
[2112] Operator Static Reshape (NC)[55,0]: Elapsed 0 (ms)
[2113] Operator Slice (ND, X32)[56,0]: Elapsed 0 (ms)
[2114] Operator Slice (ND, X32)[57,0]: Elapsed 0 (ms)
[2115] Operator Multiply (ND)[58,0]: Elapsed 0 (ms)
[2116] Operator Multiply (ND)[59,0]: Elapsed 0 (ms)
[2117] Operator Subtract (ND)[60,0]: Elapsed 0 (ms)
[2118] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[2119] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[2120] Operator Add (ND)[63,0]: Elapsed 0 (ms)
[2121] Operator Copy (NC, X32)[64,0]: Elapsed 0 (ms)
[2122] Operator Copy (NC, X32)[64,1]: Elapsed 0 (ms)
[2123] Operator Static Reshape (NC)[65,0]: Elapsed 0 (ms)
[2124] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[2125] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[2126] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[2127] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[2128] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[2129] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[2130] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[2131] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[2132] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[2133] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[2134] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[2135] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[2136] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[2137] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[2138] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[2139] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[2140] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 0 (ms)
[2141] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[2142] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[2143] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
