=== XNNPack Weight Cache Structure Dump ===

File Information:
  Total file size: 3239201184 bytes (3089.14 MB)
  File path: ../../models/Llama3.2-3B/llama3.2_q8_ekv1024.xnnpack_cache

Header Information:
  Version: 1 (expected: 1)
  XNNPack build identifier: 13d04b936010b008d5c17c7df1ed3d811c776536d7f2f47233cd8b4bd4337db2
  Buffer list offset: 3239193728 bytes (3089.14 MB)
  Buffer list size: 7456 bytes
  Data section size: 3239193672 bytes (3089.14 MB)

FlatBuffer BufferList Information:
  Base offset: 128 bytes
  Number of buffers: 142

Buffer Details:
  NOTE: This dump reflects the weight cache FILE layout (static) and the process mapping / runtime addresses (dynamic).
        Columns marked [STATIC] come from the on-disk FlatBuffer file;
        Columns marked [DYNAMIC] are process/runtime values (vary by execution).
  Note: 'Offset' is buffer->offset(), relative to BufferList.base_offset() [STATIC].
        'Memory Range' is [base_offset + offset, base_offset + offset + size - 1] (file byte offsets) [STATIC].
        'Mmapped Addr' is the process virtual address where the file was mapped: mmap_base_ptr + (base_offset + offset) [DYNAMIC].
  mmap base pointer: 0x7e9f64800000 (process virtual address base)
  Cache type: FILE-BACKED
Index  | Weight ID    | Pack Algo ID | Bias ID      | Offset     | Size       | Mmapped Addr [DYNAMIC] | Memory Range [DYNAMIC]
33     | 165          | 11342        | None         | 656498688  | 25264128   | 0x7e9f8ba16080         | [656498816-681762943]
34     | 164          | 11342        | None         | 681762816  | 25202688   | 0x7e9f8d22e080         | [681762944-706965631]
35     | 163          | 6222         | None         | 706965504  | 15790080   | 0x7e9f8ea37080         | [706965632-722755711]
36     | 162          | 78           | None         | 722755584  | 9474048    | 0x7e9f8f946080         | [722755712-732229759]
37     | 161          | 11342        | None         | 732229632  | 25264128   | 0x7e9f9024f080         | [732229760-757493887]
38     | 160          | 11342        | None         | 757493760  | 25264128   | 0x7e9f91a67080         | [757493888-782758015]
39     | 159          | 11342        | None         | 782757888  | 25202688   | 0x7e9f9327f080         | [782758016-807960703]
40     | 158          | 6222         | None         | 807960576  | 15790080   | 0x7e9f94a88080         | [807960704-823750783]
41     | 157          | 78           | None         | 823750656  | 9474048    | 0x7e9f95997080         | [823750784-833224831]
42     | 156          | 11342        | None         | 833224704  | 25264128   | 0x7e9f962a0080         | [833224832-858488959]
43     | 155          | 11342        | None         | 858488832  | 25264128   | 0x7e9f97ab8080         | [858488960-883753087]
44     | 154          | 11342        | None         | 883752960  | 25202688   | 0x7e9f992d0080         | [883753088-908955775]
45     | 153          | 6222         | None         | 908955648  | 15790080   | 0x7e9f9aad9080         | [908955776-924745855]
46     | 152          | 78           | None         | 924745728  | 9474048    | 0x7e9f9b9e8080         | [924745856-934219903]
47     | 151          | 11342        | None         | 934219776  | 25264128   | 0x7e9f9c2f1080         | [934219904-959484031]
48     | 150          | 11342        | None         | 959483904  | 25264128   | 0x7e9f9db09080         | [959484032-984748159]
49     | 149          | 11342        | None         | 984748032  | 25202688   | 0x7e9f9f321080         | [984748160-1009950847]
50     | 148          | 6222         | None         | 1009950720 | 15790080   | 0x7e9fa0b2a080         | [1009950848-1025740927]
51     | 147          | 78           | None         | 1025740800 | 9474048    | 0x7e9fa1a39080         | [1025740928-1035214975]
52     | 146          | 11342        | None         | 1035214848 | 25264128   | 0x7e9fa2342080         | [1035214976-1060479103]
53     | 145          | 11342        | None         | 1060478976 | 25264128   | 0x7e9fa3b5a080         | [1060479104-1085743231]
54     | 144          | 11342        | None         | 1085743104 | 25202688   | 0x7e9fa5372080         | [1085743232-1110945919]
55     | 143          | 6222         | None         | 1110945792 | 15790080   | 0x7e9fa6b7b080         | [1110945920-1126735999]
56     | 142          | 78           | None         | 1126735872 | 9474048    | 0x7e9fa7a8a080         | [1126736000-1136210047]
57     | 141          | 11342        | None         | 1136209920 | 25264128   | 0x7e9fa8393080         | [1136210048-1161474175]
58     | 140          | 11342        | None         | 1161474048 | 25264128   | 0x7e9fa9bab080         | [1161474176-1186738303]
59     | 139          | 11342        | None         | 1186738176 | 25202688   | 0x7e9fab3c3080         | [1186738304-1211940991]
60     | 138          | 6222         | None         | 1211940864 | 15790080   | 0x7e9facbcc080         | [1211940992-1227731071]
61     | 137          | 78           | None         | 1227730944 | 9474048    | 0x7e9fadadb080         | [1227731072-1237205119]
62     | 136          | 11342        | None         | 1237204992 | 25264128   | 0x7e9fae3e4080         | [1237205120-1262469247]
63     | 135          | 11342        | None         | 1262469120 | 25264128   | 0x7e9fafbfc080         | [1262469248-1287733375]
64     | 134          | 11342        | None         | 1287733248 | 25202688   | 0x7e9fb1414080         | [1287733376-1312936063]
65     | 133          | 6222         | None         | 1312935936 | 15790080   | 0x7e9fb2c1d080         | [1312936064-1328726143]
66     | 132          | 78           | None         | 1328726016 | 9474048    | 0x7e9fb3b2c080         | [1328726144-1338200191]
67     | 131          | 11342        | None         | 1338200064 | 25264128   | 0x7e9fb4435080         | [1338200192-1363464319]
68     | 130          | 11342        | None         | 1363464192 | 25264128   | 0x7e9fb5c4d080         | [1363464320-1388728447]
69     | 129          | 11342        | None         | 1388728320 | 25202688   | 0x7e9fb7465080         | [1388728448-1413931135]
