=== XNNPack Weight Cache Structure Dump ===

File Information:
  Total file size: 3223411056 bytes (3074.08 MB)
  File path: ../../models/Llama3.2-3B/llama3.2_q8_ekv1024.xnnpack_cache

Header Information:
  Version: 1 (expected: 1)
  XNNPack build identifier: 13d04b936010b008d5c17c7df1ed3d811c776536d7f2f47233cd8b4bd4337db2
  Buffer list offset: 3223403648 bytes (3074.08 MB)
  Buffer list size: 7408 bytes
  Data section size: 3223403592 bytes (3074.08 MB)

FlatBuffer BufferList Information:
  Base offset: 128 bytes
  Number of buffers: 141

Buffer Details:
Index  | Pack Algo ID | Weights ID   | Bias ID      | Offset     | Size       | Absolute Addr    | Memory Range
69     | 11342        | 129          | None         | 1388728320 | 25202688   | 0x7bb425e65080   | [1388728448-1413931135]
70     | 6222         | 128          | None         | 1413931008 | 15790080   | 0x7bb42766e080   | [1413931136-1429721215]
71     | 78           | 127          | None         | 1429721088 | 9474048    | 0x7bb42857d080   | [1429721216-1439195263]
72     | 11342        | 126          | None         | 1439195136 | 25264128   | 0x7bb428e86080   | [1439195264-1464459391]
73     | 11342        | 125          | None         | 1464459264 | 25264128   | 0x7bb42a69e080   | [1464459392-1489723519]
74     | 11342        | 124          | None         | 1489723392 | 25202688   | 0x7bb42beb6080   | [1489723520-1514926207]
75     | 6222         | 123          | None         | 1514926080 | 15790080   | 0x7bb42d6bf080   | [1514926208-1530716287]
76     | 78           | 122          | None         | 1530716160 | 9474048    | 0x7bb42e5ce080   | [1530716288-1540190335]
77     | 11342        | 121          | None         | 1540190208 | 25264128   | 0x7bb42eed7080   | [1540190336-1565454463]
78     | 11342        | 120          | None         | 1565454336 | 25264128   | 0x7bb4306ef080   | [1565454464-1590718591]
79     | 11342        | 119          | None         | 1590718464 | 25202688   | 0x7bb431f07080   | [1590718592-1615921279]
80     | 6222         | 118          | None         | 1615921152 | 15790080   | 0x7bb433710080   | [1615921280-1631711359]
81     | 78           | 117          | None         | 1631711232 | 9474048    | 0x7bb43461f080   | [1631711360-1641185407]
82     | 11342        | 116          | None         | 1641185280 | 25264128   | 0x7bb434f28080   | [1641185408-1666449535]
83     | 11342        | 115          | None         | 1666449408 | 25264128   | 0x7bb436740080   | [1666449536-1691713663]
84     | 11342        | 114          | None         | 1691713536 | 25202688   | 0x7bb437f58080   | [1691713664-1716916351]
85     | 6222         | 113          | None         | 1716916224 | 15790080   | 0x7bb439761080   | [1716916352-1732706431]
86     | 78           | 112          | None         | 1732706304 | 9474048    | 0x7bb43a670080   | [1732706432-1742180479]
87     | 11342        | 111          | None         | 1742180352 | 25264128   | 0x7bb43af79080   | [1742180480-1767444607]
88     | 11342        | 110          | None         | 1767444480 | 25264128   | 0x7bb43c791080   | [1767444608-1792708735]
89     | 11342        | 109          | None         | 1792708608 | 25202688   | 0x7bb43dfa9080   | [1792708736-1817911423]
90     | 6222         | 108          | None         | 1817911296 | 15790080   | 0x7bb43f7b2080   | [1817911424-1833701503]
91     | 78           | 107          | None         | 1833701376 | 9474048    | 0x7bb4406c1080   | [1833701504-1843175551]
92     | 11342        | 106          | None         | 1843175424 | 25264128   | 0x7bb440fca080   | [1843175552-1868439679]
93     | 11342        | 105          | None         | 1868439552 | 25264128   | 0x7bb4427e2080   | [1868439680-1893703807]
94     | 11342        | 104          | None         | 1893703680 | 25202688   | 0x7bb443ffa080   | [1893703808-1918906495]
95     | 6222         | 103          | None         | 1918906368 | 15790080   | 0x7bb445803080   | [1918906496-1934696575]
96     | 78           | 102          | None         | 1934696448 | 9474048    | 0x7bb446712080   | [1934696576-1944170623]
97     | 11342        | 101          | None         | 1944170496 | 25264128   | 0x7bb44701b080   | [1944170624-1969434751]
98     | 11342        | 100          | None         | 1969434624 | 25264128   | 0x7bb448833080   | [1969434752-1994698879]
99     | 11342        | 99           | None         | 1994698752 | 25202688   | 0x7bb44a04b080   | [1994698880-2019901567]
100    | 6222         | 98           | None         | 2019901440 | 15790080   | 0x7bb44b854080   | [2019901568-2035691647]
101    | 78           | 97           | None         | 2035691520 | 9474048    | 0x7bb44c763080   | [2035691648-2045165695]
102    | 11342        | 96           | None         | 2045165568 | 25264128   | 0x7bb44d06c080   | [2045165696-2070429823]
103    | 11342        | 95           | None         | 2070429696 | 25264128   | 0x7bb44e884080   | [2070429824-2095693951]
104    | 11342        | 94           | None         | 2095693824 | 25202688   | 0x7bb45009c080   | [2095693952-2120896639]
105    | 6222         | 93           | None         | 2120896512 | 15790080   | 0x7bb4518a5080   | [2120896640-2136686719]
106    | 78           | 92           | None         | 2136686592 | 9474048    | 0x7bb4527b4080   | [2136686720-2146160767]
107    | 11342        | 91           | None         | 2146160640 | 25264128   | 0x7bb4530bd080   | [2146160768-2171424895]
108    | 11342        | 90           | None         | 2171424768 | 25264128   | 0x7bb4548d5080   | [2171424896-2196689023]
109    | 11342        | 89           | None         | 2196688896 | 25202688   | 0x7bb4560ed080   | [2196689024-2221891711]
110    | 6222         | 88           | None         | 2221891584 | 15790080   | 0x7bb4578f6080   | [2221891712-2237681791]
111    | 78           | 87           | None         | 2237681664 | 9474048    | 0x7bb458805080   | [2237681792-2247155839]
112    | 11342        | 86           | None         | 2247155712 | 25264128   | 0x7bb45910e080   | [2247155840-2272419967]
113    | 11342        | 85           | None         | 2272419840 | 25264128   | 0x7bb45a926080   | [2272419968-2297684095]
114    | 11342        | 84           | None         | 2297683968 | 25202688   | 0x7bb45c13e080   | [2297684096-2322886783]
115    | 6222         | 83           | None         | 2322886656 | 15790080   | 0x7bb45d947080   | [2322886784-2338676863]
116    | 78           | 82           | None         | 2338676736 | 9474048    | 0x7bb45e856080   | [2338676864-2348150911]
117    | 11342        | 81           | None         | 2348150784 | 25264128   | 0x7bb45f15f080   | [2348150912-2373415039]
118    | 11342        | 80           | None         | 2373414912 | 25264128   | 0x7bb460977080   | [2373415040-2398679167]
119    | 11342        | 79           | None         | 2398679040 | 25202688   | 0x7bb46218f080   | [2398679168-2423881855]
120    | 6222         | 78           | None         | 2423881728 | 15790080   | 0x7bb463998080   | [2423881856-2439671935]
121    | 78           | 77           | None         | 2439671808 | 9474048    | 0x7bb4648a7080   | [2439671936-2449145983]
122    | 11342        | 76           | None         | 2449145856 | 25264128   | 0x7bb4651b0080   | [2449145984-2474410111]
123    | 11342        | 75           | None         | 2474409984 | 25264128   | 0x7bb4669c8080   | [2474410112-2499674239]
124    | 11342        | 74           | None         | 2499674112 | 25202688   | 0x7bb4681e0080   | [2499674240-2524876927]
125    | 6222         | 73           | None         | 2524876800 | 15790080   | 0x7bb4699e9080   | [2524876928-2540667007]
126    | 78           | 72           | None         | 2540666880 | 9474048    | 0x7bb46a8f8080   | [2540667008-2550141055]
127    | 11342        | 71           | None         | 2550140928 | 25264128   | 0x7bb46b201080   | [2550141056-2575405183]
128    | 11342        | 70           | None         | 2575405056 | 25264128   | 0x7bb46ca19080   | [2575405184-2600669311]
129    | 11342        | 69           | None         | 2600669184 | 25202688   | 0x7bb46e231080   | [2600669312-2625871999]
130    | 6222         | 68           | None         | 2625871872 | 15790080   | 0x7bb46fa3a080   | [2625872000-2641662079]
131    | 78           | 67           | None         | 2641661952 | 9474048    | 0x7bb470949080   | [2641662080-2651136127]
132    | 11342        | 66           | None         | 2651136000 | 25264128   | 0x7bb471252080   | [2651136128-2676400255]
133    | 11342        | 65           | None         | 2676400128 | 25264128   | 0x7bb472a6a080   | [2676400256-2701664383]
134    | 11342        | 64           | None         | 2701664256 | 25202688   | 0x7bb474282080   | [2701664384-2726867071]
135    | 6222         | 63           | None         | 2726866944 | 15790080   | 0x7bb475a8b080   | [2726867072-2742657151]
136    | 78           | 62           | None         | 2742657024 | 9474048    | 0x7bb47699a080   | [2742657152-2752131199]
137    | 11342        | 61           | None         | 2752131072 | 25264128   | 0x7bb4772a3080   | [2752131200-2777395327]
138    | 11342        | 60           | None         | 2777395200 | 25264128   | 0x7bb478abb080   | [2777395328-2802659455]
139    | 11342        | 59           | None         | 2802659328 | 25202688   | 0x7bb47a2d3080   | [2802659456-2827862143]
140    | 129358       | 284          | None         | 2827862016 | 395541504  | 0x7bb47badc080   | [2827862144-3223403647]

Internal Cache State:
  cache_key_to_offset_ entries: 141
  offset_to_addr_ entries: 141
  mmap_buffer_base_offset_: 128
  Number of mmap handles: 1

Cache Key Mappingss :
Pack Algo ID | Weights ID   | Bias ID      | Offset     | Size
     ---------------------------------------------------------------------------
129358       | 284          | None         | 2827862016 | 395541504 
11342        | 59           | None         | 2802659328 | 25202688  
11342        | 60           | None         | 2777395200 | 25264128  
11342        | 61           | None         | 2752131072 | 25264128  
6222         | 63           | None         | 2726866944 | 15790080  
11342        | 64           | None         | 2701664256 | 25202688  
11342        | 69           | None         | 2600669184 | 25202688  
11342        | 71           | None         | 2550140928 | 25264128  
11342        | 144          | None         | 1085743104 | 25202688  
78           | 62           | None         | 2742657024 | 9474048   
6222         | 198          | None         | 0          | 15790080  
11342        | 146          | None         | 1035214848 | 25264128  
11342        | 70           | None         | 2575405056 | 25264128  
78           | 147          | None         | 1025740800 | 9474048   
11342        | 151          | None         | 934219776  | 25264128  
11342        | 149          | None         | 984748032  | 25202688  
11342        | 179          | None         | 378777600  | 25202688  
11342        | 154          | None         | 883752960  | 25202688  
11342        | 65           | None         | 2676400128 | 25264128  
6222         | 178          | None         | 403980288  | 15790080  
78           | 97           | None         | 2035691520 | 9474048   
11342        | 156          | None         | 833224704  | 25264128  
78           | 157          | None         | 823750656  | 9474048   
11342        | 159          | None         | 782757888  | 25202688  
11342        | 66           | None         | 2651136000 | 25264128  
6222         | 183          | None         | 302985216  | 15790080  
11342        | 161          | None         | 732229632  | 25264128  
11342        | 164          | None         | 681762816  | 25202688  
11342        | 166          | None         | 631234560  | 25264128  
11342        | 180          | None         | 353513472  | 25264128  
6222         | 168          | None         | 605970432  | 15790080  
78           | 137          | None         | 1227730944 | 9474048   
11342        | 189          | None         | 176787456  | 25202688  
6222         | 83           | None         | 2322886656 | 15790080  
6222         | 193          | None         | 100995072  | 15790080  
78           | 197          | None         | 15790080   | 9474048   
11342        | 160          | None         | 757493760  | 25264128  
6222         | 148          | None         | 1009950720 | 15790080  
11342        | 125          | None         | 1464459264 | 25264128  
11342        | 169          | None         | 580767744  | 25202688  
78           | 142          | None         | 1126735872 | 9474048   
78           | 172          | None         | 520765440  | 9474048   
11342        | 196          | None         | 25264128   | 25264128  
11342        | 91           | None         | 2146160640 | 25264128  
11342        | 191          | None         | 126259200  | 25264128  
11342        | 114          | None         | 1691713536 | 25202688  
11342        | 190          | None         | 151523328  | 25264128  
78           | 132          | None         | 1328726016 | 9474048   
11342        | 184          | None         | 277782528  | 25202688  
11342        | 186          | None         | 227254272  | 25264128  
11342        | 194          | None         | 75792384   | 25202688  
6222         | 123          | None         | 1514926080 | 15790080  
11342        | 195          | None         | 50528256   | 25264128  
11342        | 165          | None         | 656498688  | 25264128  
6222         | 153          | None         | 908955648  | 15790080  
11342        | 126          | None         | 1439195136 | 25264128  
6222         | 158          | None         | 807960576  | 15790080  
11342        | 170          | None         | 555503616  | 25264128  
78           | 112          | None         | 1732706304 | 9474048   
11342        | 141          | None         | 1136209920 | 25264128  
11342        | 176          | None         | 429244416  | 25264128  
11342        | 175          | None         | 454508544  | 25264128  
78           | 117          | None         | 1631711232 | 9474048   
11342        | 155          | None         | 858488832  | 25264128  
6222         | 143          | None         | 1110945792 | 15790080  
11342        | 84           | None         | 2297683968 | 25202688  
78           | 192          | None         | 116785152  | 9474048   
6222         | 173          | None         | 504975360  | 15790080  
11342        | 185          | None         | 252518400  | 25264128  
11342        | 181          | None         | 328249344  | 25264128  
6222         | 163          | None         | 706965504  | 15790080  
11342        | 139          | None         | 1186738176 | 25202688  
6222         | 68           | None         | 2625871872 | 15790080  
11342        | 80           | None         | 2373414912 | 25264128  
11342        | 140          | None         | 1161474048 | 25264128  
78           | 82           | None         | 2338676736 | 9474048   
11342        | 111          | None         | 1742180352 | 25264128  
11342        | 174          | None         | 479772672  | 25202688  
11342        | 171          | None         | 530239488  | 25264128  
11342        | 150          | None         | 959483904  | 25264128  
6222         | 138          | None         | 1211940864 | 15790080  
11342        | 136          | None         | 1237204992 | 25264128  
11342        | 135          | None         | 1262469120 | 25264128  
11342        | 134          | None         | 1287733248 | 25202688  
11342        | 145          | None         | 1060478976 | 25264128  
6222         | 133          | None         | 1312935936 | 15790080  
11342        | 106          | None         | 1843175424 | 25264128  
11342        | 131          | None         | 1338200064 | 25264128  
11342        | 130          | None         | 1363464192 | 25264128  
11342        | 129          | None         | 1388728320 | 25202688  
6222         | 128          | None         | 1413931008 | 15790080  
78           | 127          | None         | 1429721088 | 9474048   
78           | 122          | None         | 1530716160 | 9474048   
11342        | 121          | None         | 1540190208 | 25264128  
78           | 67           | None         | 2641661952 | 9474048   
11342        | 119          | None         | 1590718464 | 25202688  
78           | 92           | None         | 2136686592 | 9474048   
6222         | 118          | None         | 1615921152 | 15790080  
11342        | 94           | None         | 2095693824 | 25202688  
11342        | 116          | None         | 1641185280 | 25264128  
6222         | 113          | None         | 1716916224 | 15790080  
78           | 162          | None         | 722755584  | 9474048   
11342        | 89           | None         | 2196688896 | 25202688  
78           | 187          | None         | 217780224  | 9474048   
11342        | 110          | None         | 1767444480 | 25264128  
78           | 182          | None         | 318775296  | 9474048   
11342        | 109          | None         | 1792708608 | 25202688  
11342        | 120          | None         | 1565454336 | 25264128  
6222         | 108          | None         | 1817911296 | 15790080  
78           | 107          | None         | 1833701376 | 9474048   
11342        | 104          | None         | 1893703680 | 25202688  
11342        | 115          | None         | 1666449408 | 25264128  
6222         | 103          | None         | 1918906368 | 15790080  
78           | 152          | None         | 924745728  | 9474048   
11342        | 79           | None         | 2398679040 | 25202688  
78           | 102          | None         | 1934696448 | 9474048   
11342        | 101          | None         | 1944170496 | 25264128  
78           | 77           | None         | 2439671808 | 9474048   
11342        | 99           | None         | 1994698752 | 25202688  
