Attaching 1 probe...
op[28:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-2123542528 address=0x7bb4548d5080
op[30:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-2098278400 address=0x7bb4560ed080
op[39:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-2073075712 address=0x7bb4578f6080
op[16:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-2057285632 address=0x7bb458805080
op[25:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-2047811584 address=0x7bb45910e080
op[28:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-2022547456 address=0x7bb45a926080
op[30:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1997283328 address=0x7bb45c13e080
op[39:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1972080640 address=0x7bb45d947080
op[16:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1956290560 address=0x7bb45e856080
op[25:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1946816512 address=0x7bb45f15f080
op[28:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1921552384 address=0x7bb460977080
op[30:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1896288256 address=0x7bb46218f080
op[39:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1871085568 address=0x7bb463998080
op[16:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1855295488 address=0x7bb4648a7080
op[25:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1845821440 address=0x7bb4651b0080
op[28:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1820557312 address=0x7bb4669c8080
op[30:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1795293184 address=0x7bb4681e0080
op[39:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1770090496 address=0x7bb4699e9080
op[16:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1754300416 address=0x7bb46a8f8080
op[25:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1744826368 address=0x7bb46b201080
op[28:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1719562240 address=0x7bb46ca19080
op[30:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1694298112 address=0x7bb46e231080
op[39:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1669095424 address=0x7bb46fa3a080
op[16:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1653305344 address=0x7bb470949080
op[25:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1643831296 address=0x7bb471252080
op[28:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1618567168 address=0x7bb472a6a080
op[30:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1593303040 address=0x7bb474282080
op[39:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1568100352 address=0x7bb475a8b080
op[16:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1552310272 address=0x7bb47699a080
op[25:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1542836224 address=0x7bb4772a3080
op[28:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1517572096 address=0x7bb478abb080
op[30:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1492307968 address=0x7bb47a2d3080
op[39:0] Fully Connected (NC, QDU8, F32, QC8W) offset=-1467105280 address=0x7bb47badc080
op[16:0] Fully Connected (NC, QDU8, F32, QC8W) offset=15790080 address=0x7bb3d410f080
op[25:0] Fully Connected (NC, QDU8, F32, QC8W) offset=25264128 address=0x7bb3d4a18080
op[28:0] Fully Connected (NC, QDU8, F32, QC8W) offset=50528256 address=0x7bb3d6230080
op[30:0] Fully Connected (NC, QDU8, F32, QC8W) offset=75792384 address=0x7bb3d7a48080
op[39:0] Fully Connected (NC, QDU8, F32, QC8W) offset=100995072 address=0x7bb3d9251080
op[16:0] Fully Connected (NC, QDU8, F32, QC8W) offset=116785152 address=0x7bb3da160080
op[25:0] Fully Connected (NC, QDU8, F32, QC8W) offset=126259200 address=0x7bb3daa69080
op[28:0] Fully Connected (NC, QDU8, F32, QC8W) offset=151523328 address=0x7bb3dc281080
op[30:0] Fully Connected (NC, QDU8, F32, QC8W) offset=176787456 address=0x7bb3dda99080
op[39:0] Fully Connected (NC, QDU8, F32, QC8W) offset=201990144 address=0x7bb3df2a2080
op[16:0] Fully Connected (NC, QDU8, F32, QC8W) offset=217780224 address=0x7bb3e01b1080
op[25:0] Fully Connected (NC, QDU8, F32, QC8W) offset=227254272 address=0x7bb3e0aba080
op[28:0] Fully Connected (NC, QDU8, F32, QC8W) offset=252518400 address=0x7bb3e22d2080
op[30:0] Fully Connected (NC, QDU8, F32, QC8W) offset=277782528 address=0x7bb3e3aea080
op[39:0] Fully Connected (NC, QDU8, F32, QC8W) offset=302985216 address=0x7bb3e52f3080
